hot_diggity_d, honestly would ive seen first hand effect drugs alcohol depression
thepsikid, going life cant events ones want whats point alive events depression
thepsikid, cousin ask wedding say cause dont think youll alive next year depression
thepsikid, depression walking outside going 10 rounds head hoping last final rounds ko day depression
thepsikid, night birthday didnt cut make bleed guess victory depression ihatemybirthday failure
thepsikid, wonder people death date mind like date future think yeah ill probably commit suicide day
thepsikid, hearing someone know died first thought get lucky die depression sadthoughts truethoughts
thepsikid, crowded room crowded place crowded city really anywhere id always look depression heartbreak imissher
thepsikid, wish baby movie butterfly effect could take life womb life would never depression psi
thepsikid, happy birthday wishes begin weeks nothing happy another year alive want dead depression
venokazu, lol yeah thing bts first big hit kind shame bc actually think
venokazu, anyways ive seen three david cages games point dbh bts heavy rain actualyl think
simplygabsx, anyone battles depression self harm bipolar anxiety eating disorder know doesnt last forever
simplygabsx, anyone really knows knows long way came depression self harm depressed
simplygabsx, havent felt depressed years someone able bring right back darkest days im sorry
simplygabsx, one day ive lost lover best friend top fell back depression thing putting
simplygabsx, watching anxiety
kenzietip, partner talking clapping memorized depression anxiety much handle
FolkardSimon, second sufferer chronic depression ptsdi always episode depression
fai_tae, yesterday friend sent link give questions see depression anxiety rate tbh
fai_tae, stop using bts clout aku tau dorang mention bts target army sebab nak attention kalau nak sangat
fai_tae, liking kpop bad people uses kpop way help problems depression
fai_tae, apa function kau letak video bts dalam info kau ni padahal kau boleh je letak orang lain western artists even pel
fai_tae, dia punya nervous nak tengok burn stage macam nak pegi concert bts pulak
fai_tae, lepas class memang aku gerak terus nu sentral sebab nak amik gambar dgn standee bts huehuehueheu
fai_tae, watching bts perform saw jungoos chest friend okay
fai_tae, bagi jelah semua award tu kat bts female award tu pun bagi jelah
bird_XCIII, feel like exempt seasonal depression depression yearround cance
bird_XCIII, guess upside depression worry smile lines
liIlsugarrtits, yeah might ducks row crippling depression prevents productive ev
liIlsugarrtits, kill killed psychology exam epic
BammaBecky, mental health important anxiety depression previously thoughts suicide happy
takemeback2thin, people depression legitimate chemical imbalances brain
hennydemikzstan, im saying depression isnt problem celebrities dont problems im saying ur cancer
Elias_Error, inconvenient leads stress oh must really important dire
Elias_Error, depression causing gain weight horseshit like great contend repairi
Elias_Error, jjba jojosbizarreadventure goldenwind cruncyroll bipolar anime ventoaureo stoneocean diamondisunbreakable
Elias_Error, thanks everyone tried engage bipolar bullshit lately one things hav
BTSMarvelstan, kinda sad didnt buy bts merch black friday
BTSMarvelstan, btw psychotic depression help always talk
GaryLikesDogs, evidence back hunch gave hug depression would cured
XioVargas, seasonal depression thing
TrilliamClinton, lmao legit getting lost outwest cuz dope addiction fuck
EvilScientress, quite bad depression last couple days started catch twitter sadly cant
EvilScientress, researching suicide prevention hotlines thread wrote stumbled upon holy fuck ca
EvilScientress, cn suicide mental health major depression believe know pain give live another chance live
EvilScientress, cn suicide mental health major depression know place back
EvilScientress, cn suicide mental health major depression thought writing thread people ver
kellsifer, depression really killed important yrs life friendships guys family amp jobs makes
lilgreykittens, anybody tips dealing stress longdistance travel moving person suffers
FrankCharlton, id say dont need compare pain valid terrible anxiety dep
FrankCharlton, yea mine takes priority overrirdes functions catch depression adapt
FrankCharlton, im sure really many effective coping mechanisms anxiety yet im mindful
FrankCharlton, could choose one part mental health cocktail drop would anxiety ive around depre
FrankCharlton, work bathroom aveno stress relief lotion bathroom seriously thought gonna need bigger bottle
TonyTinfoil, sooo havent school since like great depression tell
TiredAgustD, hes second command bts show compassion ended slumped table defe
TiredAgustD, lt even louder guess even army follow us even specifically bts related
TiredAgustD, lt win carry bats around one concert day bts ill tell
TiredAgustD, lt harm doneand yeah write music solo career thats seperate bts
vamp_apologist, shot give cystic acne depression make hair fall also made los
pronetomisery, sweetner tour coming depression hour
pronetomisery, told wish didnt ever leave house like depression didnt work
pronetomisery, cant believe mom thought dont depression anymore
melissa_flick, well done piece realities suicide accompanying stigma
melissa_flick, everyone depression needs megaphone still sicknotweak
zaqematson, wish could conversation without depression leaking
zaqematson, ill never satisfied addiction
_ZoeDurn2, hi im zoe amp bpd bipolar disorder anxiety social anxiety depression
_ZoeDurn2, hey saw suggested people follow im gosport suffer bpd bipolar
Murrkmore, worst headache mental health slowly deteriorating seasonal depression bullshit
Murrkmore, neck shoulders hurt real bad last two days think may physical manifestation stress
Katierobl, honestly couldnt dropped new song better time ive really depressed past
Katierobl, honestly depression real bitch
Katierobl, first day days finally got bed bc stupid depression amp realized literally nobody hangout
Katierobl, sad mom recognizes depression
DepressedAunty, doc think depression symptoms well listen class 2013 mitski
DepressedAunty, definitely asam womans cathartic response trauma
DepressedAunty, called national suicide prevention hotline like 5th 6th time theyve sa
DepressedAunty, anyone interested crazy undiagnosed south east asians navigating transgenerational trauma ill sell life story rn
WarWraith, deleted second half suicide squad tweet said ok im trolling
WarWraith, suicide squad
preston_good, deal depression pretty heavy sometimes really bad anxiety time im people person
southerngaythic, hm still depression
lala_alvarez13, mil told us might depression bcus hardly go lmao uh like space one cons
KachichanDSWKP, know someone suffers depression ocd anxiety ptsd wonder us creat
KachichanDSWKP, know hate mental emotional issues relative stress start give feeling
BangtanLicks, never stanned anyone bts swear lile miracles
BangtanLicks, depression obvious communicating something
BangtanLicks, youre soft stan feel free unfollow cause dont hold back see bts dicks
BangtanLicks, reality one gold though fucking miss run bts
BangtanLicks, basically dreaming bts posting something twitter realizing aint real
BangtanLicks, swear hoseok sings well hidden vocal gem bts
thes0cialist, know anxiety depression going thru dumping 1000 dollars old car ha
sparkletaechim, favorite bts choreography comment bts 방탄소년단
sparkletaechim, dm anytime need bcus understand depression need someone talk
sparkletaechim, anyone list bts important dates like albums covers mixtapes realease dates biggest ach
sparkletaechim, want new mutuals stans bts andor mamamoo need mutuals stans real talent rt wanna mutuals bts mamamoo
